household lat long Strain wt90 wt120 wt150 wt180 country
EAM2074 11.5057883333333 36.8796883333333 Sasso 2160.22727272727 2262.5 2498.89807162534 2812.9476584022 Ethiopia
EAM2075 11.4759883333333 36.8919033333333 Sasso 1340.77134986226 1700.94043887147 1785.57993730408 1870.21943573668 Ethiopia
EAM2076 11.4903166666667 36.890935 Sasso 1266.49831649832 1763.2183908046 2202.87356321839 2642.52873563218 Ethiopia
EAM2077 11.481595 36.903525 Sasso 1479.95337995338 1935.91954022989 1739.6017699115 2054.42477876106 Ethiopia
EAM2078 11.4777583333333 36.88776 Sasso 1447.22222222222 2155.7881773399 2248.15270935961 2340.51724137931 Ethiopia
EAM2079 11.4899033333333 36.891775 Kuroiler 1087.33834586466 1297.33333333333 2414.54545454545 1732.72727272727 Ethiopia
EAM2080 11.4965933333333 36.8954766666667 Sasso 1452.44755244755 1960.34482758621 2141.37931034483 2322.41379310345 Ethiopia
EAM2087 11.3831433333333 36.8666 Koekoek 556.795679567957 572.997299729973 589.198919891989 957.142857142857 Ethiopia
EAM2093 11.3669183333333 36.8771183333333 Koekoek 520.684068406841 355.427542754275 190.17101710171 622.857142857143 Ethiopia
EAM2111 11.3830816666667 36.8681066666667 Koekoek 616.327632763276 587.704770477048 559.081908190819 882.857142857143 Ethiopia
EAM2119 11.3638483333333 36.8498583333333 Koekoek 675.530410183876 722.206506364922 768.882602545969 1109.52380952381 Ethiopia
EAM2120 11.3646083333333 36.8359466666667 Koekoek 595.049504950495 596.905940594059 598.762376237624 1100 Ethiopia
EAM2122 10.949665 36.9035366666667 S-RIR  601.074509803922 890.625 957.589285714286 1262.5 Ethiopia
EAM2123 10.9792366666667 36.9016083333333 Sasso 505 567 597.514619883041 606.286549707602 Ethiopia
EAM2124 10.9386366666667 36.9028883333333 S-RIR  661.885714285714 993.636363636364 1211.81818181818 1282.85714285714 Ethiopia
EAM2138 10.9662166666667 36.905045 Sasso 538.055555555556 490.857142857143 504.910714285714 579 Ethiopia
EAM2139 10.9599066666667 36.9117583333333 Sasso 422.222222222222 542.133333333333 529.333333333333 585.432098765432 Ethiopia
EAM2140 10.9563516666667 36.9134766666667 Sasso 561.666666666667 555.5 484.166666666667 603.333333333333 Ethiopia
EAM2141 10.939445 36.8967066666667 S-RIR  675.428571428571 1010.45454545455 1187.72727272727 1373.33333333333 Ethiopia
EAM2142 10.9378733333333 36.8998466666667 S-RIR  676.785714285714 995.681818181818 1161.59090909091 1500 Ethiopia
EAM2149 10.95011 36.905985 Sasso 527.777777777778 586.666666666667 622.222222222222 654.320987654321 Ethiopia
EAM2150 10.938825 36.8989466666667 S-RIR  631.07 954.548701298701 1183.54220779221 1373.33333333333 Ethiopia
EAM2152 10.9510766666667 36.9062366666667 S-RIR  671.371428571429 1001.63636363636 1159.81818181818 1280 Ethiopia
EAM2154 10.940375 36.90642 S-RIR  646.938775510204 840.909090909091 1045.45454545455 1282.85714285714 Ethiopia
EAM2155 10.9518116666667 36.899825 Sasso 556.481481481482 589.555555555556 552.222222222222 601.234567901235 Ethiopia
EAM2156 10.95629 36.9131416666667 Sasso 462.5 510 540 589.62962962963 Ethiopia
EAM2157 10.93893 36.9020316666667 S-RIR  620.081632653061 991.636363636364 1149.81818181818 1282.85714285714 Ethiopia
EAM2158 10.9483766666667 36.9028016666667 Sasso 484.722222222222 553.333333333333 555.555555555556 624.074074074074 Ethiopia
EAM2192 10.97715 36.7641783333333 Horro 182.112676056338 71.2903225806452 342.258064516129 566.666666666667 Ethiopia
EAM2200 10.9745933333333 36.767205 Sasso 1219.53125 1491.53439153439 1523.28042328042 1555.02645502645 Ethiopia
EAM2203 10.9967016666667 37.07861 S-RIR  690.12539184953 949.501661129568 1050.41528239203 1151.32890365448 Ethiopia
EAM2205 10.9782933333333 37.092005 Koekoek 537.179487179487 1542.85714285714 1685.71428571429 1828.57142857143 Ethiopia
EAM2210 10.9609333333333 37.09398 Sasso 549.453125 830.454545454545 1941.81818181818 3053.18181818182 Ethiopia
EAM2211 10.9731 37.0866933333333 Sasso 569.555288461538 811.398601398601 1657.9020979021 2504.40559440559 Ethiopia
EAM2215 10.9911633333333 37.091765 Sasso 556.796875 784.318181818182 1667.27272727273 2550.22727272727 Ethiopia
EAM2217 10.9947733333333 37.0893616666667 Sasso 567.788461538462 795.104895104895 1634.26573426573 2473.42657342657 Ethiopia
EAM2219 10.9652633333333 37.089775 Sasso 541.369047619048 777.705627705628 1744.15584415584 2710.60606060606 Ethiopia
EAM2226 10.9671466666667 37.0866266666667 Sasso 571.875 865.909090909091 1826.13636363636 2786.36363636364 Ethiopia
EAM2228 10.977965 37.0947883333333 Koekoek 569.93006993007 1507.14285714286 1614.28571428571 1721.42857142857 Ethiopia
EAM2234 10.97843 37.0931016666667 Koekoek 586.785009861933 1260.98901098901 1598.9010989011 1936.81318681319 Ethiopia
EAM2235 10.977685 37.1015166666667 Koekoek 587.968441814596 1246.42857142857 1596.7032967033 1946.97802197802 Ethiopia
EAM2313 11.0798433333333 36.881865 Koekoek 597.037037037037 963.868312757202 1979.91769547325 2995.9670781893 Ethiopia
EAM2314 11.07926 36.8804333333333 Koekoek 535.030864197531 971.604938271605 2119.75308641975 3267.9012345679 Ethiopia
EAM2316 11.07926 36.8798383333333 Koekoek 590.123456790123 1006.17283950617 1941.35802469136 2876.54320987654 Ethiopia
EAM2317 11.0792916666667 36.879585 Koekoek 606.172839506173 1014.81481481481 1459.25925925926 1903.7037037037 Ethiopia
EAM2318 11.0793316666667 36.879175 Koekoek 570.37037037037 1029.62962962963 1918.51851851852 2807.40740740741 Ethiopia
EAM2319 11.07924 36.8790516666667 Koekoek 598.280423280423 1006.34920634921 1625.39682539683 2244.44444444444 Ethiopia
EAM2320 11.0792733333333 36.879085 Koekoek 597.222222222222 1024.07407407407 1746.2962962963 2468.51851851852 Ethiopia
EAM2339 11.584335 37.3696216666667 S-RIR  638.28125 890.364583333333 976.302083333333 1005 Ethiopia
EAM2351 11.0812883333333 36.8824933333333 Koekoek 556.571428571429 1160.59113300493 1337.93103448276 1515.27093596059 Ethiopia
EAM2352 11.081175 36.882285 Koekoek 525.333333333333 1547.12643678161 1685.05747126437 1822.98850574713 Ethiopia
EAM2353 11.0809333333333 36.882125 Koekoek 578.4 1152.41379310345 1276.55172413793 1400.68965517241 Ethiopia
EAM2355 11.080575 36.8821116666667 Koekoek 568 1072.41379310345 1796.55172413793 2520.68965517241 Ethiopia
EAM2356 11.079825 36.8821183333333 Koekoek 576.714285714286 1275.6157635468 1746.05911330049 2216.50246305419 Ethiopia
EAM2358 11.0787583333333 36.882365 Koekoek 411.428571428571 1800 1800 1800 Ethiopia
EAM2359 11.0785266666667 36.8827 Koekoek 528 1494.25287356322 1436.7816091954 1379.31034482759 Ethiopia
EAM2360 11.0785266666667 36.8841416666667 Koekoek 563.428571428571 1107.38916256158 1609.85221674877 2112.31527093596 Ethiopia
EAM2361 12.3806483333333 37.5742466666667 Kuroiler 593.269230769231 778.333333333333 2066.66666666667 2806.89655172414 Ethiopia
EAM2362 12.3736 37.539955 Kuroiler 861.730769230769 938.620689655172 1150 1647.58064516129 Ethiopia
EAM2363 12.38008 37.5751733333333 Kuroiler 854.464285714286 955.595238095238 1354.28571428571 2033.33333333333 Ethiopia
EAM2364 12.38042 37.5749133333333 Kuroiler 576.005747126437 793.75 1026.66666666667 1216.66666666667 Ethiopia
EAM2365 12.3652366666667 37.5717366666667 Kuroiler 719.230769230769 872.413793103448 1337.77777777778 1466.68202764977 Ethiopia
EAM2366 12.378785 37.5738433333333 Kuroiler 722.5 933.571428571429 1805.71428571429 2233.33333333333 Ethiopia
EAM2367 12.3814116666667 37.5757233333333 Kuroiler 729.938271604938 1134.55555555556 1255.42857142857 1714.28571428571 Ethiopia
EAM2368 12.3776783333333 37.5656483333333 Kuroiler 1056.15384615385 1792.22222222222 2304.7619047619 3196.55172413793 Ethiopia
EAM2369 12.38087 37.5719233333333 S-RIR  444.405594405594 664.121212121212 676.190476190476 750 Ethiopia
