household,lat,long,Strain,wt90,wt120,wt150,wt180,sex,country
EAA2121,8.94022166666667,38.7340966666667,Koekoek,1333.33333333333,1333.33333333333,1829.58333333333,2325.83333333333,Female,Ethiopia
EAA2122,8.94074833333333,38.730635,Kuroiler,6323.07692307692,4938.46153846154,3553.84615384615,2169.23076923077,Male,Ethiopia
EAA2122,8.94074833333333,38.730635,Kuroiler,3473.07692307692,2838.46153846154,2203.84615384615,1569.23076923077,Female,Ethiopia
EAA2123,8.94076666666667,38.7291933333333,Koekoek,666.666666666667,1211.32075471698,1664.15094339623,1956.71957671958,Female,Ethiopia
EAA2125,8.94211833333333,38.730385,Koekoek,790.20979020979,1017.42424242424,1543.67816091954,1873.5632183908,Female,Ethiopia
EAA2125,8.94211833333333,38.730385,Koekoek,792.307692307692,1150,1796.55172413793,3141.37931034483,Male,Ethiopia
EAA2126,8.94184,38.7295766666667,Kuroiler,2750,2437.5,2125,1812.5,Male,Ethiopia
EAA2126,8.94184,38.7295766666667,Kuroiler,595.979381443299,-335.714285714286,307.142857142857,950,Female,Ethiopia
EAA2127,8.94216666666667,38.7324466666667,S-RIR ,611.111111111111,916.666666666667,1554.23076923077,1994.48275862069,Female,Ethiopia
EAA2127,8.94216666666667,38.7324466666667,S-RIR ,662.698412698413,1200,1792.30769230769,2484.61538461538,Male,Ethiopia
EAA2128,8.94216166666667,38.731805,Koekoek,772.486772486773,961.95652173913,1235.83743842365,1802.95566502463,Female,Ethiopia
EAA2128,8.94216166666667,38.731805,Koekoek,611.111111111111,1210.14492753623,1408.48806366048,1559.68169761273,Male,Ethiopia
EAA2129,8.946395,38.7290766666667,S-RIR ,771.428571428571,854.166666666667,1417.71159874608,1718.18181818182,Female,Ethiopia
EAA2129,8.946395,38.7290766666667,S-RIR ,680,1000,1689.65517241379,2724.13793103448,Male,Ethiopia
EAA2130,8.94153333333333,38.7322666666667,S-RIR ,471.794871794872,915.572232645403,1393.99624765478,1872.42026266417,Female,Ethiopia
EAA2131,8.946095,38.7302533333333,Kuroiler,15942.3076923077,11903.8461538462,7865.38461538462,3826.92307692308,Female,Ethiopia
EAA2132,8.94621166666667,38.7302633333333,Horro,666.666666666667,666.666666666667,1267.67676767677,1286.66666666667,Male,Ethiopia
EAA2132,8.94621166666667,38.7302633333333,Horro,1097.22222222222,680.555555555556,1058.08080808081,1626.66666666667,Female,Ethiopia
EAA2133,8.94197333333333,38.7325266666667,Kuroiler,5676.92307692308,4490.10989010989,3303.2967032967,2116.48351648352,Female,Ethiopia
EAA2135,8.94202166666667,38.731665,S-RIR ,800,809.427609427609,1164.15289256198,1774.69008264463,Female,Ethiopia
EAA2137,8.94259833333333,38.7278883333333,Koekoek,580,1075,1751.72413793103,2579.31034482759,Male,Ethiopia
EAA2137,8.94259833333333,38.7278883333333,Koekoek,615.384615384615,1102.5641025641,1820.38651004168,1868.47290640394,Female,Ethiopia
EAA2138,8.94208833333333,38.7292816666667,S-RIR ,672.307692307692,1161.21593291405,1720.964360587,1969.34865900383,Female,Ethiopia
EAA2139,8.94148833333333,38.7323866666667,Kuroiler,531.724137931034,-928.571428571429,142.857142857143,1214.28571428571,Female,Ethiopia
EAA2140,8.94139666666667,38.7321066666667,Kuroiler,4891.02564102564,3929.48717948718,2967.94871794872,2006.41025641026,Female,Ethiopia
EAA2142,8.940725,38.7337616666667,Koekoek,1650,1650,1757.43801652893,1864.87603305785,Female,Ethiopia
EAA2145,8.94104833333333,38.73066,Horro,333.333333333333,333.333333333333,540.14598540146,905.109489051095,Male,Ethiopia
